timestamp,asset,action,exposure_from,exposure_to,price,regime,conviction,sub_strategy,fee_bps
2024-11-23,TWT,enter,0.0,0.534,1.0325,aligned,0.667,momentum_gates,10.0
2024-12-04,TWT,enter,0.534,0.6,1.4196,aligned,0.75,momentum_gates,10.0
2024-12-07,TWT,exit,0.6,0.534,1.5076,aligned,0.667,momentum_gates,10.0
2024-12-10,TWT,exit,0.534,0.0,1.2811,divergent,0.0,momentum_gates,10.0
2025-01-06,TWT,enter,0.0,0.534,1.2653,aligned,0.667,momentum_gates,10.0
2025-01-09,TWT,exit,0.534,0.0,1.1251,divergent,0.0,momentum_gates,10.0
2025-01-15,TWT,enter,0.0,0.534,1.2244,aligned,0.667,momentum_gates,10.0
2025-01-17,TWT,exit,0.534,0.0,1.2329,divergent,0.0,momentum_gates,10.0
2025-01-18,TWT,enter,0.0,0.534,1.1752,aligned,0.667,momentum_gates,10.0
2025-01-19,TWT,exit,0.534,0.0,1.1182,divergent,0.0,momentum_gates,10.0
2025-02-12,TWT,enter,0.0,0.534,0.9864,aligned,0.667,momentum_gates,10.0
2025-02-19,TWT,exit,0.534,0.0,1.0424,divergent,0.0,momentum_gates,10.0
2025-04-22,TWT,enter,0.0,0.534,0.824,aligned,0.667,momentum_gates,10.0
2025-04-27,TWT,exit,0.534,0.0,0.8029,divergent,0.0,momentum_gates,10.0
2025-04-28,TWT,enter,0.0,0.534,0.8172,aligned,0.667,momentum_gates,10.0
2025-04-29,TWT,exit,0.534,0.0,0.7989,divergent,0.0,momentum_gates,10.0
2025-05-01,TWT,enter,0.0,0.534,0.8226,aligned,0.667,momentum_gates,10.0
2025-05-02,TWT,exit,0.534,0.0,0.8158,divergent,0.0,momentum_gates,10.0
2025-05-08,TWT,enter,0.0,0.534,0.8242,aligned,0.667,momentum_gates,10.0
2025-05-16,TWT,exit,0.534,0.0,0.8348,divergent,0.0,momentum_gates,10.0
2025-06-10,TWT,enter,0.0,0.534,0.8412,aligned,0.667,momentum_gates,10.0
2025-06-11,TWT,exit,0.534,0.0,0.8052,divergent,0.0,momentum_gates,10.0
2025-06-12,TWT,enter,0.0,0.534,0.7694,aligned,0.667,momentum_gates,10.0
2025-06-14,TWT,exit,0.534,0.0,0.7678,divergent,0.0,momentum_gates,10.0
2025-06-19,TWT,enter,0.0,0.534,0.7333,aligned,0.667,momentum_gates,10.0
2025-06-20,TWT,exit,0.534,0.0,0.7227,divergent,0.0,momentum_gates,10.0
2025-07-09,TWT,enter,0.0,0.534,0.7198,aligned,0.667,momentum_gates,10.0
2025-07-23,TWT,exit,0.534,0.0,0.7971,divergent,0.0,momentum_gates,10.0
2025-08-09,TWT,enter,0.0,0.534,0.8042,aligned,0.667,momentum_gates,10.0
2025-08-10,TWT,exit,0.534,0.0,0.7886,divergent,0.0,momentum_gates,10.0
2025-08-12,TWT,enter,0.0,0.534,0.7976,aligned,0.667,momentum_gates,10.0
2025-08-14,TWT,exit,0.534,0.0,0.7769,divergent,0.0,momentum_gates,10.0
2025-08-21,TWT,enter,0.0,0.534,0.7703,aligned,0.667,momentum_gates,10.0
2025-08-23,TWT,exit,0.534,0.0,0.796,divergent,0.0,momentum_gates,10.0
2025-09-10,TWT,enter,0.0,0.534,0.7563,aligned,0.667,momentum_gates,10.0
2025-09-16,TWT,exit,0.534,0.0,0.7922,divergent,0.0,momentum_gates,10.0
2025-09-18,TWT,enter,0.0,0.534,0.9375,aligned,0.667,momentum_gates,10.0
2025-09-19,TWT,enter,0.534,0.666,1.1778,aligned,0.833,momentum_gates,10.0
2025-09-20,TWT,exit,0.666,0.6,1.4396,aligned,0.75,momentum_gates,10.0
2025-09-24,TWT,exit,0.6,0.534,1.2029,aligned,0.667,momentum_gates,10.0
2025-09-25,TWT,enter,0.534,0.6,1.1729,aligned,0.75,momentum_gates,10.0
2025-09-26,TWT,exit,0.6,0.0,1.2436,divergent,0.0,momentum_gates,10.0
2025-09-29,TWT,enter,0.0,0.534,1.3217,aligned,0.667,momentum_gates,10.0
2025-09-30,TWT,exit,0.534,0.0,1.2386,divergent,0.0,momentum_gates,10.0
2025-10-02,TWT,enter,0.0,0.534,1.3292,aligned,0.667,momentum_gates,10.0
2025-10-05,TWT,exit,0.534,0.0,1.3937,divergent,0.0,momentum_gates,10.0
2025-10-06,TWT,enter,0.0,0.534,1.5752,aligned,0.667,momentum_gates,10.0
2025-10-07,TWT,enter,0.534,0.666,1.6337,aligned,0.833,momentum_gates,10.0
2025-10-08,TWT,exit,0.666,0.534,1.5174,aligned,0.667,momentum_gates,10.0
2025-10-10,TWT,exit,0.534,0.0,1.269,divergent,0.0,momentum_gates,10.0
2026-01-04,TWT,enter,0.0,0.534,0.9187,aligned,0.667,momentum_gates,10.0
2026-01-05,TWT,exit,0.534,0.0,0.9343,divergent,0.0,momentum_gates,10.0
2026-01-06,TWT,enter,0.0,0.534,0.9414,aligned,0.667,momentum_gates,10.0
2026-01-07,TWT,exit,0.534,0.0,0.9174,divergent,0.0,momentum_gates,10.0
2026-01-15,TWT,enter,0.0,0.534,0.9466,aligned,0.667,momentum_gates,10.0
2026-01-17,TWT,exit,0.534,0.0,0.9445,divergent,0.0,momentum_gates,10.0
2026-01-19,TWT,enter,0.0,0.534,0.9261,aligned,0.667,momentum_gates,10.0
2026-01-20,TWT,exit,0.534,0.0,0.8545,divergent,0.0,momentum_gates,10.0
2026-03-14,TWT,enter,0.0,0.534,0.508,aligned,0.667,momentum_gates,10.0
2026-03-19,TWT,exit,0.534,0.0,0.5128,divergent,0.0,momentum_gates,10.0
2026-04-07,TWT,enter,0.0,0.534,0.4027,aligned,0.667,momentum_gates,10.0
2026-04-08,TWT,exit,0.534,0.0,0.3957,divergent,0.0,momentum_gates,10.0
2026-04-16,TWT,enter,0.0,0.534,0.4268,aligned,0.667,momentum_gates,10.0
2026-04-18,TWT,exit,0.534,0.0,0.4098,divergent,0.0,momentum_gates,10.0
2026-04-24,TWT,enter,0.0,0.534,0.4394,aligned,0.667,momentum_gates,10.0
2026-04-27,TWT,exit,0.534,0.0,0.4362,divergent,0.0,momentum_gates,10.0
2026-05-07,TWT,enter,0.0,0.534,0.4591,aligned,0.667,momentum_gates,10.0
2026-05-16,TWT,enter,0.534,0.6,0.5023,aligned,0.75,momentum_gates,10.0
2026-05-17,TWT,exit,0.6,0.0,0.4932,divergent,0.0,momentum_gates,10.0
2026-05-31,TWT,enter,0.0,0.534,0.455,aligned,0.667,momentum_gates,10.0
2026-06-01,TWT,enter,0.534,0.6,0.4477,aligned,0.75,momentum_gates,10.0
2026-06-02,TWT,exit,0.6,0.0,0.4409,divergent,0.0,momentum_gates,10.0
