timestamp,close,volume_24h,funding_rate,fear_greed,holder_trend,narrative_score
2023-09-22,1.154,1696821.11336,0.0,47.0,0.0,0.0
2023-09-23,1.145,843862.60329,0.0,47.0,0.0,0.0
2023-09-24,1.137,1502472.72308,0.0,47.0,0.0,0.0
2023-09-25,1.148,2038554.80741,0.0,47.0,0.0,0.0
2023-09-26,1.154,1968123.73238,0.0,47.0,0.0,0.0
2023-09-27,1.153,2088371.32191,0.0,47.0,0.0,0.0
2023-09-28,1.172,2013367.44301,0.0,47.0,0.0,0.0
2023-09-29,1.171,1769748.19199,0.0,47.0,0.09509621121689134,0.004871445704906829
2023-09-30,1.169,1491251.73642,0.0,47.0,-0.06281208553303094,0.01282743426437527
2023-10-01,1.189,3040969.94228,0.0,47.0,0.5,-0.04143009094079497
2023-10-02,1.237,11137860.52211,0.0,47.0,0.5,0.06459732519845884
2023-10-03,1.191,6643903.32923,0.0,47.0,0.5,-0.027767914547563777
2023-10-04,1.189,3049885.47635,0.0,47.0,0.15908381598290425,-0.044146595070217565
2023-10-05,1.174,2249537.21993,0.0,47.0,-0.07055368267076308,-0.025379035865237487
2023-10-06,1.194,2307844.74718,0.0,47.0,0.020247630680907916,-0.03684113406273726
2023-10-07,1.184,992106.10206,0.0,47.0,-0.1617156422692616,-0.04807707082554158
2023-10-08,1.179,2614868.57743,0.0,47.0,-0.09676165063883255,-0.011425140357284036
2023-10-09,1.147,4120415.20688,0.0,47.0,-0.26541015430890147,-0.15246818170773402
2023-10-10,1.152,3164775.30594,0.0,47.0,-0.1830909477224269,-0.06284118821796914
2023-10-11,1.115,3751528.65911,0.0,47.0,-0.2769034281482396,-0.05945660249786511
2023-10-12,1.095,2099744.51834,0.0,47.0,-0.4930610784408014,-0.08709989889290126
2023-10-13,1.09,2350590.42185,0.0,47.0,-0.5,-0.09765238381094377
2023-10-14,1.106,5526744.69984,0.0,47.0,-0.12611590554383478,-0.05276380087181032
2023-10-15,1.135,3269721.33825,0.0,47.0,-0.2494140052030953,-0.01998475311657999
2023-10-16,1.15,3805212.13909,0.0,47.0,0.1208676992698732,-0.060782448497910924
2023-10-17,1.102,2501549.36796,0.0,47.0,-0.3494611213687016,-0.16024736596018307
2023-10-18,1.064,3285180.54864,0.0,47.0,-0.15171568460120566,-0.19897392678835302
2023-10-19,1.054,1713510.56567,0.0,47.0,-0.5,-0.2209327071307372
2023-10-20,1.061,2687268.64564,0.0,47.0,-0.21421406962348194,-0.26220810544413586
2023-10-21,1.118,6634761.68936,0.0,47.0,0.5,-0.2060124815206268
2023-10-22,1.118,4217665.8756,0.0,47.0,0.08376065434687396,-0.23900760222427597
2023-10-23,1.184,6105160.21015,0.0,47.0,0.5,-0.2615071056636529
2023-10-24,1.193,8334499.81979,0.0,47.0,0.5,-0.224114471264238
2023-10-25,1.19,3735009.04135,0.0,47.0,0.5,-0.19931961790068442
2023-10-26,1.208,5140836.89004,0.0,47.0,0.5,-0.08655016696508122
2023-10-27,1.223,6505321.15687,0.0,47.0,0.5,0.020699783193869337
2023-10-28,1.23,3273963.27434,0.0,47.0,0.3271209662383477,-0.07856083355021504
2023-10-29,1.24,2238252.91632,0.0,47.0,0.23042716746374015,-0.08405777649134327
2023-10-30,1.247,3502954.38287,0.0,47.0,0.14809901594465902,0.02146334439349573
2023-10-31,1.232,3021301.84266,0.0,47.0,-0.036755248992025535,0.02310649199480519
2023-11-01,1.335,9575960.51756,0.0,47.0,0.5,0.1900461189083411
2023-11-02,1.562,91430085.87099,0.0,47.0,0.5,0.539832592004982
2023-11-03,1.514,32265246.24764,0.0,47.0,0.5,0.4272091222202925
2023-11-04,1.86,102670551.90435,0.0,47.0,0.5,0.6
2023-11-05,2.372,172986466.09158,0.0,47.0,0.5,0.6
2023-11-06,2.382,87737542.09399,0.0,47.0,0.5,0.6
2023-11-07,2.191,56756678.31878,0.0,47.0,0.5,0.6
2023-11-08,2.167,36737574.60442,0.0,47.0,0.5,0.6
2023-11-09,2.017,61232564.78557,0.0,47.0,0.5,0.48187549836027266
2023-11-10,2.017,34040132.11703,0.0,47.0,0.5,0.5155542937275572
2023-11-11,2.367,71033596.74859,0.0,47.0,0.5,0.42720305226076594
2023-11-12,2.172,39182352.9922,0.0,47.0,-0.5,-0.285865700885366
2023-11-13,2.111,47077037.46315,0.0,47.0,-0.5,-0.3083956926148521
2023-11-14,2.34,59870195.19646,0.0,47.0,0.305947770783697,0.12741921489864616
2023-11-15,2.692,127114443.14994,0.0,47.0,0.5,0.3591515034774089
2023-11-16,2.54,53977537.13757,0.0,47.0,0.5,0.5478870110054954
2023-11-17,2.486,39394704.1233,0.0,47.0,0.5,0.501920019147353
2023-11-18,2.456,22441202.0183,0.0,47.0,-0.1256236907043093,0.10546730671793259
2023-11-19,2.518,17198313.21599,0.0,47.0,0.40774965664666124,0.30264262157544897
2023-11-20,2.6,50506020.89364,0.0,47.0,0.5,0.40921344482593813
2023-11-21,2.253,71770599.75798,0.0,47.0,0.03027093500327785,-0.08507366492207469
2023-11-22,2.457,32167136.21223,0.0,47.0,-0.5,-0.15082585683404548
2023-11-23,2.393,20968059.15791,0.0,47.0,-0.5,-0.17828454966036733
2023-11-24,2.379,12866523.35247,0.0,47.0,-0.5,-0.14614937819252005
